time,model_id,model_name,port_name,data
0,213,(14,18),,0.363296
0,214,(8,16),,0.533221
0,215,(3,18),,0.497978
0,216,(26,25),,0.516817
0,217,(1,18),,0.475298
0,218,(0,18),,0.467312
0,219,(2,16),,0.144740
0,220,(45,18),,0.490525
0,221,(46,42),,0.040051
0,222,(47,17),,0.103961
0,223,(45,17),,0.425138
0,224,(46,16),,0.053319
0,225,(44,17),,0.309356
0,226,(7,4),,0.557487
0,227,(42,27),,0.239220
0,228,(43,17),,0.282738
0,229,(13,31),,0.173510
0,230,(16,20),,0.346433
0,231,(38,34),,0.107000
0,232,(40,17),,0.402572
0,233,(35,6),,0.197573
0,234,(9,34),,0.369657
0,235,(35,33),,0.295795
0,236,(28,46),,0.246105
0,237,(40,11),,0.249374
0,238,(15,18),,0.327682
0,239,(20,21),,0.434437
0,240,(0,22),,0.228453
0,241,(22,17),,0.331538
0,242,(44,21),,0.206139
0,243,(47,29),,0.046780
0,244,(41,3),,0.111992
0,245,(39,17),,0.392322
0,246,(17,17),,0.267330
0,247,(16,17),,0.289381
0,248,(7,35),,0.477469
0,249,(13,17),,0.389106
0,250,(7,8),,0.580102
0,251,(12,17),,0.055688
0,252,(43,21),,0.262662
0,253,(28,2),,0.278589
0,254,(6,17),,0.540082
0,255,(39,30),,0.137815
0,256,(5,17),,0.533096
0,257,(3,17),,0.502326
0,258,(2,17),,0.486844
0,259,(21,37),,0.242422
0,260,(1,17),,0.476336
0,261,(20,23),,0.501173
0,262,(49,16),,0.060531
0,263,(7,6),,0.570169
0,264,(2,0),,0.503120
0,265,(42,16),,0.269402
0,266,(17,13),,0.285944
0,267,(15,17),,0.316584
0,268,(41,16),,0.377523
0,269,(8,17),,0.529737
0,270,(40,16),,0.393478
0,271,(3,32),,0.464154
0,272,(39,16),,0.382662
0,273,(38,16),,0.358723
0,274,(0,47),,0.460585
0,275,(36,16),,0.287885
0,276,(35,16),,0.254338
0,277,(43,16),,0.275248
0,278,(33,18),,0.177531
0,279,(30,1),,0.263031
0,280,(27,5),,0.311926
0,281,(30,43),,0.063009
0,282,(9,20),,0.520647
0,283,(27,15),,0.236419
0,284,(28,44),,0.197986
0,285,(22,16),,0.295183
0,286,(2,45),,0.383250
0,287,(13,18),,0.404693
0,288,(44,19),,0.111201
0,289,(0,26),,0.468558
0,290,(17,16),,0.258261
0,291,(38,24),,0.241882
0,292,(19,22),,0.431617
0,293,(10,16),,0.483389
0,294,(19,37),,0.130269
0,295,(42,5),,0.061510
0,296,(8,23),,0.497586
0,297,(7,16),,0.542391
0,298,(4,16),,0.523447
0,299,(10,14),,0.481958
0,300,(32,31),,0.108086
0,301,(10,21),,0.538537
0,302,(49,15),,0.061538
0,303,(8,24),,0.462357
0,304,(48,15),,0.077939
0,305,(28,28),,0.286283
0,306,(42,15),,0.312266
0,307,(41,15),,0.358320
0,308,(29,29),,0.208152
0,309,(26,19),,0.429064
0,310,(33,15),,0.180706
0,311,(43,33),,0.098351
0,312,(31,15),,0.152259
0,313,(37,16),,0.248805
0,314,(21,18),,0.374363
0,315,(29,15),,0.194147
0,316,(28,15),,0.218009
0,317,(25,24),,0.597057
0,318,(14,43),,0.446460
0,319,(28,12),,0.190465
0,320,(30,17),,0.314314
0,321,(25,15),,0.253140
0,322,(33,28),,0.101331
0,323,(1,33),,0.468029
0,324,(40,18),,0.245080
0,325,(37,23),,0.240175
0,326,(24,15),,0.258072
0,327,(48,29),,0.262099
0,328,(46,33),,0.042532
0,329,(13,43),,0.483831
0,330,(20,15),,0.256304
0,331,(48,22),,0.064695
0,332,(16,15),,0.279813
0,333,(46,13),,0.131037
0,334,(5,32),,0.430410
0,335,(12,15),,0.402651
0,336,(42,14),,0.287793
0,337,(9,15),,0.515034
